0.86,0.18,11.43,-0.02,-0.01,-0.02,24.25
0.88,0.17,11.46,-0.02,-0.01,-0.02,24.44
0.88,0.17,11.49,-0.02,-0.01,-0.02,24.34
0.85,0.16,11.43,-0.03,-0.00,-0.03,24.39
0.82,0.16,11.47,-0.02,-0.01,-0.03,24.29
0.85,0.16,11.46,-0.02,-0.00,-0.02,24.29
0.82,0.11,11.40,-0.03,-0.00,-0.03,24.34
0.90,0.11,11.44,-0.02,-0.01,-0.03,24.44
0.89,0.11,11.48,-0.02,-0.00,-0.02,24.34
0.82,0.13,11.47,-0.02,-0.00,-0.03,24.39
0.80,0.17,11.44,-0.02,-0.01,-0.03,24.29
0.85,0.12,11.41,-0.02,-0.01,-0.02,24.29
0.81,0.17,11.53,-0.02,-0.01,-0.03,24.34
0.79,0.16,11.44,-0.02,-0.00,-0.03,24.44
0.81,0.10,11.46,-0.02,-0.00,-0.03,24.34
0.83,0.12,11.44,-0.03,-0.00,-0.03,24.29
0.82,0.14,11.48,-0.02,-0.01,-0.03,24.39
0.85,0.14,11.45,-0.02,-0.00,-0.02,24.39
0.77,0.15,11.44,-0.02,-0.00,-0.03,24.29
0.84,0.16,11.39,-0.02,-0.00,-0.03,24.34
0.89,0.18,11.45,-0.03,-0.00,-0.03,24.25
0.80,0.15,11.44,-0.02,-0.00,-0.03,24.29
0.82,0.17,11.43,-0.03,-0.00,-0.02,24.29
0.89,0.15,11.49,-0.02,-0.01,-0.03,24.29
0.85,0.14,11.46,-0.02,-0.00,-0.03,24.39
0.86,0.12,11.43,-0.03,-0.00,-0.03,24.44
0.82,0.13,11.34,-0.02,-0.00,-0.03,24.34
0.87,0.16,11.46,-0.02,-0.01,-0.02,24.34
0.86,0.17,11.46,-0.02,-0.00,-0.03,24.29
0.92,0.13,11.47,-0.03,-0.00,-0.02,24.29
0.83,0.15,11.43,-0.02,-0.00,-0.02,24.29
0.82,0.16,11.35,-0.02,-0.00,-0.02,24.39
0.85,0.13,11.35,-0.02,-0.00,-0.02,24.34
0.82,0.18,11.43,-0.03,-0.00,-0.02,24.34
0.83,0.12,11.45,-0.03,-0.00,-0.03,24.34
0.85,0.17,11.46,-0.02,-0.01,-0.02,24.39
0.79,0.11,11.48,-0.02,-0.00,-0.03,24.29
0.84,0.13,11.41,-0.02,-0.00,-0.02,24.39
0.84,0.16,11.48,-0.02,-0.00,-0.02,24.34
0.83,0.17,11.41,-0.02,-0.00,-0.02,24.34
0.82,0.11,11.48,-0.02,-0.01,-0.03,24.34
0.87,0.17,11.45,-0.02,-0.00,-0.02,24.29
0.82,0.12,11.42,-0.02,-0.00,-0.02,24.29
0.86,0.08,11.46,-0.02,-0.01,-0.02,24.39
0.84,0.13,11.46,-0.02,-0.00,-0.03,24.34
0.80,0.09,11.45,-0.02,-0.00,-0.02,24.34
0.79,0.17,11.42,-0.02,-0.01,-0.02,24.34
0.81,0.09,11.43,-0.02,-0.01,-0.02,24.39
0.88,0.04,11.42,-0.02,-0.01,-0.03,24.29
0.88,0.14,11.42,-0.02,-0.00,-0.03,24.39
0.84,0.14,11.36,-0.03,-0.00,-0.03,24.39
0.83,0.17,11.57,-0.02,-0.01,-0.03,24.34
0.86,0.17,11.43,-0.02,-0.00,-0.03,24.34
0.85,0.13,11.44,-0.02,-0.00,-0.03,24.44
0.89,0.14,11.42,-0.02,-0.01,-0.02,24.39
0.82,0.19,11.49,-0.02,-0.00,-0.03,24.29
0.76,0.18,11.48,-0.02,-0.00,-0.03,24.29
0.91,0.10,11.45,-0.02,-0.01,-0.02,24.34
0.85,0.13,11.38,-0.02,-0.01,-0.03,24.34
0.81,0.17,11.39,-0.02,-0.01,-0.03,24.34
0.83,0.11,11.49,-0.02,-0.01,-0.02,24.34
0.90,0.12,11.41,-0.02,-0.00,-0.02,24.29
0.86,0.13,11.50,-0.02,-0.00,-0.02,24.39
0.85,0.15,11.52,-0.02,-0.01,-0.02,24.39
0.82,0.12,11.38,-0.02,-0.01,-0.03,24.25
0.85,0.12,11.46,-0.02,-0.00,-0.03,24.34
0.82,0.11,11.41,-0.02,-0.00,-0.02,24.34
0.86,0.17,11.39,-0.02,-0.00,-0.02,24.39
0.90,0.18,11.41,-0.02,-0.01,-0.03,24.29
0.86,0.15,11.42,-0.02,-0.01,-0.02,24.29
0.86,0.16,11.41,-0.02,-0.01,-0.03,24.34
0.85,0.15,11.42,-0.02,-0.01,-0.02,24.34
0.84,0.19,11.48,-0.02,-0.01,-0.02,24.39
0.74,0.14,11.58,-0.02,-0.00,-0.03,24.29
0.88,0.16,11.41,-0.02,-0.00,-0.02,24.39
0.86,0.10,11.41,-0.02,-0.00,-0.03,24.48
